MATRICULE;DEPARTEMENT;FRANCE SERVICES;ADRESSE;COMPLEMENT D'ADRESSE;CODE INSEE;CODE POSTAL;COMMUNE;LATITUDE;LONGITUDE;CONTACT MAIL;TELEPHONE;TYPE STRUCTURE PORTEUSE;STRUCTURE PORTEUSE;HORAIRES LUNDI;HORAIRES MARDI;HORAIRES MERCREDI;HORAIRES JEUDI;HORAIRES VENDREDI;HORAIRES SAMEDI;ITINERANCE;FORMAT FRANCE SERVICES
250;41;PIMMS de Blois;11 Place Rene Coty ;;41018;41000;BLOIS;47.59369;1.318363;blois@pimms.org;02 54 45 34 54;PIMMS;Union Nationale des PIMMS;13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:30;9:00 - 12:00 / 13:30 - 17:00;-;;Espace labellisé
251;41;Mondoubleau;3 Allée de la Gare;;41143;41170;MONDOUBLEAU;47.98497;0.892329;actions.solidaires@cc-collinesperche.fr;02 54 80 85 80;;;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 14:00 - 17:30;13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;Sur RDV;-;;Espace labellisé
252;41;Salbris;50 Boulevard de la République;;41232;41300;SALBRIS;47.42467;2.053334;msap@salbris.fr;02 54 94 10 55;Collectivité;Mairie;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30;-;;Espace labellisé
253;41;Mer;9 rue nationale;;41136;41500;MER;;;franceservices@beaucevaldeloire.fr;06 77 16 46 97;;;9:00 - 12:30 / 14:00 - 17:00;9:00 - 12:30 / 14:00 - 17:00;9:00 - 12:30 / 14:00 - 17:00;9:00 - 12:30 / 14:00 - 17:00;9:00 - 12:30 / 14:00 - 17:00;-;Oui;Espace labellisé
255;43;Craponne-sur-Arzon;Place de la Gare;;43080;43500;CRAPONNE SUR ARZON;45.33389;3.851406;franceservices.craponne@lepuyenvelay.fr;04 71 03 31 40;Collectivité;Communauté d’agglomération du Puy-en-Velay;9:00 - 12:00 // Sur RDV : 8:30 - 9:00 / 12:00 - 12:30 / 13:30 - 17:30;9:00 - 16:30 // Sur RDV : 8:30 - 9:00 / 16:30 - 17:30;9:00 - 12:00 / 14:00 - 16:30 // Sur RDV : 8:30 - 9:00 / 12:00 - 12:30 / 13:30 - 14:00 / 16:30 - 17:30;9:00 - 12:00 / 14:00 - 16:30 // Sur RDV : 8:30 - 9:00 / 12:00 - 12:30 / 13:30 - 14:00 / 16:30 - 17:30;9:00 - 12:00 // Sur RDV : 9:00 - 12:00 // Sur RDV : 8:30 - 9:00 / 12:00 - 12:30 / 13:30 - 16:30;-;;Espace labellisé
256;43;Vorey-sur-Arzon;Place de la Mairie;;43267;43800;VOREY SUR ARZON;45.18646;3.99146;;;La Poste;La Poste;9:00 - 12:00 / 14:00 - 16:45;9:00 - 11:30 / 14:45 - 16:45;9:00 - 12:00 / 14:00 - 16:45;9:00 - 12:00 / 14:00 - 16:45;9:00 - 12:00 / 14:00 - 16:45;9:00 - 12:00;;Espace labellisé
257;44;Riaillé;182 rue du Cèdre;;44144;44440;RIAILLE;47.51778;-1.29466;accueil@maison-services-riaille.com;;Collectivité;SIVOM;8:30 - 12:30 / 14:00 - 17:00;8:30 - 12:30 / 14:00 - 17:00;-;8:30 - 12:30 / 14:00 - 17:00;8:30 - 12:30;-;;Espace labellisé
258;44;Derval;14 rue de la Garlais;;44051;44590;DERVAL;47.66849;-1.67026;msap@cc-chateaubriant-derval.fr;;Collectivité;;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;-;;Espace labellisé
259;45;Maison du département de l’ouest Orléanais;44 Rue de Chateaudun;;45203;45130;MEUNG SUR LOIRE;47.83971;1.681991;mdd.ouest.orleanais@loiret.fr;02 18 21 29 29;Collectivité;Conseil départemental;8:30 - 12:00 / Sur RDV : 13:30 - 16:30;8:30 - 12:00 / Sur RDV : 13:30 - 16:30;8:30 - 12:00 / Sur RDV : 13:30 - 16:30;8:30 - 12:00 / Sur RDV : 13:30 - 16:30;8:30 - 12:00 / Sur RDV : 13:30 - 16:30;-;;Espace labellisé
260;45;PIMMS du Plateau;26 Rue de la Pontonnerie;;45208;45200;MONTARGIS;48.00042;2.726123;plateau.agglo-montargoise@pimms.org;02 38 07 30 72;PIMMS;Union Nationale des PIMMS;9:00 - 12:30 / 13:00 - 17:30;9:00 - 12:30 / 13:00 - 17:30;9:00 - 12:30 / 13:00 - 17:30;9:00 - 12:30 / 13:00 - 17:30;9:00 - 12:30 / 13:00 - 17:30;-;;Espace labellisé
261;45;Beaune la Rolande;3 bis Rue des Déportés;;45030;45340;BEAUNE LA ROLANDE;48.07161;2.435226;franceservices.beaunois@pithiveraisgatinais.fr;02 38 33 92 68 ;Collectivité;Communauté de Communes du Pithiverais Gâtinais;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 16:30;-;;Espace labellisé
262;46;Communauté d'agglomération Grand Cahors;72 rue du Président Wilson ;Hôtel Wilson;46042;46000;CAHORS;44.44622;1.439927;;;;;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Oui;Espace labellisé
263;46;Association Ségala Limargue;81 Rue Principale ;Pôle Multiculturel Communautaire ;46170;46120;LEYME;44.78526;1.900465;association.segala.limargue@wanadoo.fr;05 65 38 98 17;Association;Association Ségala Limargue;13:00 - 16:00;9:00 - 16:00;9:00 - 16:00;9:00 - 12:00 / 14:00 - 19:00;13:00 - 16:00;-;;Espace labellisé
265;46;Cajarc;40 Boulevard du Tour de Ville ;;46045;46160;CAJARC;44.48475;1.843145;accueil@cajarc.fr;;;;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;;Espace labellisé
266;46;Communauté de communes du Causse de Labastide-Murat;8 Grande Rue du Causse ;;46138;46240;LABASTIDE MURAT;44.64746;1.567651;msap@cc-labastide-murat.fr;05 65 20 08 50;;;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:01;9:00 - 12:00 / 14:00 - 17:02;9:00 - 12:00 / 14:00 - 17:03;9:00 - 12:00 / 14:00 - 17:04;-;;Espace labellisé
268;47;Duras;14, boulevard Jean Brisseau;;47086;47120;DURAS;44.67727;0.182852;ppms.duras@wanadoo.fr;05 53 20 38 38;Collectivité;Communauté de communes du Pays de Duras;9:00 - 12:30 / 13:30 - 18:00;9:00 - 12:30 / 13:30 - 18:00;9:00 - 12:30 / 14:00 - 17:00;9:00 - 12:30 / 13:30 - 18:00;9:00 - 12:30 / 14:00 - 17:00;-;;Espace labellisé
269;47;La plume ;Place du Foirail;Bureau de Poste;47137;47310;LAPLUME;44.11275;0.530547;;;La Poste;La Poste;-;9:00 - 12:00 / 13:30 - 16:00;9:00 - 12:00 / 13:30 - 16:00;9:00 - 12:00 / 13:30 - 16:00;9:00 - 12:00 / 13:30 - 16:00;9:00 - 12:00;;Espace labellisé
270;47;Nérac;10 place Aristide Briand ;Centre Haussmann;47195;47600;NERAC;44.13701;0.338267;msap@albretcommunaute.fr;05 53 97 43 89;Collectivité;Communauté de communes Albret Communauté ;9:00 - 12:00 / 14:00 - 17:00 ;9:00 - 12:00 / 14:00 - 17:00 ;9:00 - 12:00 / 14:00 - 17:00 ;9:00 - 12:00 / 14:00 - 17:00 ;9:00 - 12:00;-;Oui;Espace labellisé
271;48;Marvejols;6 Rue Victor Cordesse ;;48092;48100;MARVEJOLS;44.55329;3.2918;msap@cc-gevaudan.fr;04 66 44 03 78;Collectivité;CC du Gévaudan;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;-;;Espace labellisé
272;48;Saint-Chély d’Apcher;Rue de l'ancien hôpital;;48140;48200;ST CHELY D APCHER;44.79633;3.27632;msap@stchelydapcher.fr;04 66 32 71 41;Collectivité;Communauté de communes des Terres d’APcher - Margeride-Aubrac;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:00;-;;Espace labellisé
273;48;Pont de Montvert Sud Mont-Lozère;Le Pont de Montvert;Bâtiment de la mairie ;48116;48220;LE PONT DE MONVERT SUD MT LOZERE;;;franceservices@cevennes-mont-lozere.fr;04 34 09 06 14;Collectivité;CC des Cévennes au Mont Lozère;9:30 - 12:00 / Sur RDV : après-midi;9:30 - 12:00 / Sur RDV : après-midi;9:30 - 12:00 ;9:30 - 12:00 / 14:00 - 19:00;9:30 - 12:00 ;-;;Espace labellisé
274;48;Langogne;1 Quai du Langouyrou ;;48080;48300;LANGOGNE;44.72571;3.857039;maisonemploi.langogne@orange.fr;04 66 46 80 75;Collectivité;Communauté communes du Haut Allier;8:30 - 12:00 / 13:30 - 16:30;8:45 - 12:00 / 13:45 - 16:45;8:45 - 12:00 / 13:45 - 16:45;8:45 - 12:00 / 13:45 - 16:45;8:45 - 12:00 / 13:45 - 16:45;-;;Espace labellisé
275;49;Chemillé-en-Anjou;5 Rue de la Gabardière Chemillé;;49092;49120;CHEMILLE EN ANJOU;47.21691;-0.72768;franceservices@centresocial-chemille.asso.fr;02 41 30 50 55;Association;Centre social et socio culturel du chemillois;14:00 - 18:00;9:00 - 12:00 / 14:00 - 18:00;Sur RDV : 9:00 - 12:00;14:30 - 18:30;9:00 - 12:00 (semaines impaires) / 14:00 - 18:00;Semaines paires : 9:00 - 12:00;;Espace labellisé
276;49;Loire Layon - St Georges;5, rue de Savennières;;49283;49170;ST GEORGES SUR LOIRE;47.40696;-0.75778;msaploirelayon@csi-latelier.fr;02 41 39 17 11;Association;Centre social intercommunal l’Atelier à Saint-Georges-sur-loire;9:00 - 12:30;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30;-;;Espace labellisé
277;49;Montreuil-Bellay;139 Rue d'Anjou;;49215;49260;MONTREUIL BELLAY;47.12787;-0.14376;direction.csc49@gmail.com;02 41 52 38 99;Association;Centre social et culturel intercommunal Roland Charrier;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 16:00;-;;Espace labellisé
278;49;Loire Layon - Chalonnes;4 Rue des Poilus;;49063;49290;CHALONNES SUR LOIRE;47.35206;-0.76181;franceservices@chalonnes-sur-loire.fr;02 41 74 10 82;Collectivité;CCAS de Chalonnes sur Loire;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00;-;;Espace labellisé
279;49;Vallée du Haut Anjou;2 Rue des Fontaines;;49080;49330;LES HAUTS D ANJOU;47.68072;-0.49429;msap@valleesduhautanjou.fr;02 41 24 10 66;Association;Communauté de communes des Vallées du Haut Anjou;9:00 - 12:15 / 14:00 - 17:00;9:00 - 12:15 / 14:00 - 17:00;9:00 - 12:15 / 14:00 - 17:00;9:00 - 12:15 / 14:00 - 17:00;9:00 - 12:15 / 14:00 - 17:00;-;;Espace labellisé
280;49;Orée d’Anjou;20 rue JFA Chenouard, Drain;;49069;49530;OREE D ANJOU;47.33922;-1.2066;msap@rivesdeloire.fr;02 40 98 26 76;Association;Centre socioculturel Rives de Loire;9:00 - 12:15 / 14:00 - 18:00;9:00 - 12:15 / 14:00 - 19:00;9:00 - 12:15 / 14:00 - 18:00;9:00 - 12:15 / 14:00 - 18:00;9:00 - 12:15 / 14:00 - 18:00;-;;Espace labellisé
281;49;Beaupréau-en-Mauges;10 Rue du sous Préfet Barré;;49023;49600;BEAUPREAU EN MAUGES;47.20339;-0.99356;franceservices.csevreetmauges@orange.fr;02 41 63 06 33;Association;Centre social Evre et Mauges;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 14:00 - 18:00;Hors vacances scolaires : 9:00 - 12:00;;Espace labellisé
282;50;Sourdeval;13 c Rue de Tinchebray;;50582;50150;SOURDEVAL;48.7253;-0.91769;nathalie.andre@msm-normandie.fr;02 33 79 30 60;Collectivité;CA Mont-Saint-Michel-Normandie;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00;-;;Espace labellisé
283;50;Brecey;7 bis Rue Louis René le Berriays;;50074;50370;BRECEY;48.7238;-1.16996;msap.brecey@msm-normandie.fr;02 33 68 21 50;Collectivité;CA Mont-Saint-Michel-Normandie;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00;9:00 - 12:00;9:00 - 12:00 / 14:00 - 17:00;-;;Espace labellisé
284;50;Lessay;11 Place Saint Cloud;;50267;50430;LESSAY;49.21883;-1.53378;msap@maisondupaysdelessay.fr;02 33 46 84 69;Association;Maison du Pays de Lessay;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 16:30;-;;Espace labellisé
285;50;Carentan;28 Rue de la 101e Airborne;;50099;50500;CARENTAN LES MARAIS;49.30473;-1.25053;;;Collectivité;CDC de la Baie du Cotentin;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 17:00;-;;Espace labellisé
286;50;St Hilaire du Harcouet;65 Place Louis Delaporte;;50484;50600;ST HILAIRE DU HARCOUET;48.57886;-1.90641;msap.sthilaire@msm-normandie.fr;02 33 69 28 05;Collectivité;CA Mont-Saint-Michel-Normandie;8:30 - 12:30 / 14:00 - 17:00;8:30 - 12:30 / 14:00 - 17:00;8:30 - 12:30 / 14:00 - 17:00;8:30 - 12:30 / 14:00 - 17:00;8:30 - 12:30 / 14:00 - 17:00;-;;Espace labellisé
287;50;Le teilleul;32 Rue Beauregard;;50591;50640;LE TEILLEUL;48.53852;-0.87283;;;Collectivité;CA Mont-Saint-Michel-Normandie;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00;-;;Espace labellisé
288;50;Valognes;22 Rue de Poterie;;50615;50700;VALOGNES;49.51003;-1.46932;;;Collectivité;CA du Cotentin;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30;-;;Espace labellisé
289;50;Villedieu;11 Rue Pierre Paris;;50639;50800;VILLEDIEU LES POELES ROUFFIGNY;;;accueil@villedieuintercom.fr;02 33 90 17 90;Collectivité;CDC Villedieu Intercom;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;-;;Espace labellisé
290;51;Jonchery sur Vesle;Rue du Marche;;51308;51140;JONCHERY SUR VESLE;49.28689;3.813739;msap.jonchery-sur-vesle@laposte.net;03 26 08 36 44;Association;Familles Rurales de Jonchery sur Vesle;13:30 - 18:00;13:30 - 19:00;9:00 - 12:00 / 13:30 - 18:00;9:00 - 12:00 ;13:30 - 17:00 ;10:00 - 12:00;;Espace labellisé
291;51;Bassuet;1 Rue Ernest Haudos;;51040;51300;BASSUET;48.79731;4.667419;-;09 72 65 02 46;Collectivité;Communauté de communes des Côtes de Champagne et Val de Saulx;8:30 - 12:00;-;9:00 - 12:00 / 13:45 - 17:00;-;-;-;;Espace labellisé
292;51;Paysages de la Champagne - Dormans;3 Rue du Marechal Foch;;51217;51700;DORMANS;49.07704;3.642586;franceservices@ccpc51.fr;03 26 59 18 70;Collectivité;Communauté de communes des Paysages de la Champagne;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00;9:00 - 12:00 / Sur RDV : 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;-;;Espace labellisé
293;51;Argonne Champenoise;50 Avenue de Pertison;;51507;51800;STE MENEHOULD;49.95895;4.914458;msap@cc-argonnechampenoise.fr;03 26 60 59 92;Collectivité;Communauté de communes de l’Argonne Champenoise ;13:30 - 17:00;8:30 - 17:30;8:30 - 12:00;13:30 - 17:30;8:30 - 17:30;-;;Espace labellisé
297;52;Bologne;1-3 rue de Chaumont;;52058;52310;BOLOGNE;48.18663;5.18716;franceservices.bologne@agglo-chaumont.fr;03 25 03 44 08;Collectivité;CA de Chaumont;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;-;;Espace labellisé
298;53;Gorron;Place de la Mairie;;53107;53120;GORRON;48.4115;-0.8136;msap@gorron.fr;02 43 30 10 58;Collectivité;Communauté de communes du Bocage Mayennais;8:30 - 12:15 / 13:30 - 17:30;8:30 - 12:15 / 13:30 - 17:30;8:30 - 12:15 / 13:30 - 17:30;8:30 - 12:15 / 13:30 - 17:30;8:30 - 12:15 / 13:30 - 17:00;-;;Espace labellisé
299;53;Pré-en-Pail-Saint-Samson;1 Rue de la Corniche de Pail;;53185;53140;PRE EN PAIL ST SAMSON;48.45725;-0.2069;dgs@cc-montdesavaloirs.fr;02 43 30 11 11;Collectivité;Communauté de communes du Mont des Avaloirs;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 16:30;-;;Espace labellisé
300;53;Meslay-du-Maine;1 Voie de la Guiternière ;;53152;53170;MESLAY DU MAINE;47.94959;-0.54203;;;Collectivité;Communauté de communes du Pays de Meslay-Grez;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;-;;Espace labellisé
301;53;Ambrières-les-Vallées;6 Place du Château ;;53003;53300;AMBRIERES LES VALLEES;48.40348;-0.62983;;;Collectivité;Communauté de communes du Bocage Mayennais;14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00– 17:00;9:00 - 12:00 / 14:00– 17:00;-;;Espace labellisé
302;53;Loiron;Maison de Pays, Zone d'activité La Chapelle du Chêne;;53137;53320;LOIRON RUILLE;;;msap@agglo-laval.fr;02 43 02 19 31;Collectivité;Laval-Agglo;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:00;-;;Espace labellisé
303;53;Craon;29 Rue de la Libération;;53084;53400;CRAON;47.8495;-0.95569;msap@cias.paysdecraon.fr;02 43 09 09 65;Collectivité;Communauté de communes du Pays de Craon;9:00 - 12:30 / 13:30 - 17:30;9:00– 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30 ;-;;Espace labellisé
304;53;Ernée;Parc d'activités de la Querminais BP 28;Communauté de communes de l’Ernée;53096;53500;ERNEE;;;msap@lernee.fr;02 43 05 46 31;Collectivité;Communauté de de communes de l’Ernée;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 16:30;-;;Espace labellisé
305;53;Villaines-la-Juhel;17 Boulevard du Général de Gaulle;;53271;53700;VILLAINES LA JUHEL;48.3394;-0.2812;dgs@cc-montdesavaloirs.fr;02 43 30 13 13;Collectivité;Communauté de communes du Mont des Avaloirs;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;-;;Espace labellisé
306;54;Seille et Grand Couronné;47 rue Saint Barthélémy;;54113;54280;CHAMPENOUX;48.74236;6.347801;;;Collectivité;ComCom de Seille et Grand Couronné;8:30 - 12:30 / 13:30 - 16:30;8:30 - 12:30 / 13:30 - 16:30;9:00 - 12:00;8:30 - 12:30 / 13:30 - 16:30;8:30 - 12:30 / 13:30 - 16:30;-;;Espace labellisé
308;54;Mont sur Meurthe;3 rue de la Meurthe;;54383;54360;MONT SUR MEURTHE;48.55545;6.441162;;;Association;Association Familles Rurales ;9:00 - 12:00 / 13:30 - 17:30;13:30 - 17:30;8:30 - 13:30;8:30 - 12:30 / 13:30 - 18:00;8:30 - 12:30 / 13:30 - 17:30;Sur RDV;;Espace labellisé
309;54;Einville et Environs;35 grande rue;;54176;54370;EINVILLE AU JARD;48.65545;6.488118;relaisfamilles.einville@famillesrurales.org;03 83 72 06 91;Association;Familles Rurales Einville et Environs;8:30 - 12:00 / 13:00 - 17:30;13:00 - 17:30;8:30 - 12:00;8:30 - 12:00;13:00 - 17:30;-;;Espace labellisé
311;54;PIMMS - Grand Longwy;14 rue Stanislas ;;54323;54400;LONGWY;49.52435;5.761761;grandlongwy@pimms.org;03 82 44 54 50;PIMMS;Union Nationale des PIMMS;8:45 - 12:00 / 14:00 - 16:45;Sur RDV : matin / Sans RDV : 14:00 - 16:45;8:45 - 12:00 / 14:00 - 16:45;Sur RDV;8:45 - 12:00 / 14:00 - 16:45;-;;Espace labellisé
314;54;Mad & Moselle;2bis rue Henri Poulet ;;54518;54470;THIAUCOURT REGNIEVILLE;48.95572;5.866697;franceservices@cc-madetmoselle.fr;03 83 81 91 69;Collectivité;ComCom Mad & Moselle;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30 // Certains services seulement : 12:30 - 18:30;8:30 - 12:30 / 13:30 - 16:30;Certains services : 9:00 - 12:00;;Espace labellisé
317;55;Gondrecourt le Château;5, place de l’Hôtel de Ville;;55215;55130;GONDRECOURT LE CHATEAU;48.51388;5.506251;msap.gondrecourt-le-chateau@laposte.fr;03 29 89 65 55;La poste;La Poste;14:00 - 16:30;9:00 - 12:00 / 14:00 - 16:30;9:00 - 12:00;9:00 - 12:00 / 14:00 - 16:30;9:00 - 12:00 / 14:00 - 16:30;9:00 - 12:00;;Espace labellisé
318;55;Commercy;22 Avenue Stanislas;;55122;55200;COMMERCY;48.76242;5.589912;sp-commercy@meuse.gouv.fr;03 29 91 70 71;Etat;Sous-préfecture de Commercy;9:00 - 12:00 / 14:00 - 16:30;9:00 - 12:00 / 14:00 - 16:30;9:00 - 12:00 / 14:00 - 16:30;9:00 - 12:00 / 14:00 - 16:30;9:00 - 12:00 / 14:00 - 16:30;-;;Espace labellisé
320;55;Centre Socioculturel d'Étain et sa Région;25 rue des Ecoles;;55181;55400;ETAIN;49.21344;5.64121;contact@cscetain.org;03 29 87 21 41;Association;Centre Social et Culturel; 13:30 - 18:00;9:00 - 12:00 / 13:30 - 18:00;9:00 - 12:00 / 13:30 - 18:00;9:00 - 12:00 / 13:30 - 18:00;9:00 - 12:00 / 13:30 - 18:00;-;;Espace labellisé
321;55;Ligny-en-Barrois;12 / 14 Rue des Etats Unis ;;55291;55500;LIGNY EN BARROIS;48.68803;5.322006;;;Collectivité;CIAS Bar le Duc Sud Meuse;9:00 - 12:00 / 13:30 - 16:30;9:00 - 12:00 / 13:30 - 16:30;9:00 - 12:00 / 13:30 - 16:30;9:00 - 12:00 / 13:30 - 16:30;9:00 - 12:00 / 13:30 - 16:30;-;;Espace labellisé
322;55;Stenay val Dunois;6 d Avenue de Verdun;;55502;55700;STENAY;49.48952;5.194254;accueil@ccstenaydun.fr;03 29 80 31 81;Collectivité;Codecom Pays de Stenay Val Dunois;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;-;;Espace labellisé
326;56;Guémené-sur-Scorff;14 rue Joseph Pérès;;56073;56160;GUEMENE SUR SCORFF;48.0676;-3.20669;msap-guemene@orange.fr;02 97 07 59 15;Collectivité;Mairie;8:30 - 12:00 / 13:00 - 17:30;8:30 - 12:00 / 13:00 - 17:30;8:30 - 12:00 / 13:00 - 16:30;8:30 - 12:00 / 13:00 - 17:30;8:30 - 12:00 / 13:00 - 17:30;9:00 - 12:00;;Espace labellisé
328;56;Groix;13 rue de l’Église;;56069;56590;GROIX;47.63856;-3.45494;msap@groix.fr;02 97 12 85 20;Collectivité;CCAS de Goix;10:00 - 12:00 / 13:30 - 16:30;10:00 - 12:00 / 13:30 - 16:30;10:00 - 12:00 / 13:30 - 16:30;10:00 - 12:00 / 13:30 - 16:30;10:00 - 12:00 / 13:30 - 16:30;-;;Espace labellisé
329;57;Entrange ;22 Rue du Silo;;57194;57330;ENTRANGE;49.41519;6.13249;f.services@cc-ce.com;03 82 54 95 90;Collectivité;Communauté de Communes de Cattenom et Environs;-;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 16:30;9:00 - 12:30;9:00 - 12:30;9:00 - 12:30;;Espace labellisé
330;58;Chatillon en Bazois;1 bis rue de la Picherotte;;58065;58110;CHATILLON EN BAZOIS;47.05616;3.658447;msap.chatillon@csbazois.org;03 86 84 19 00;Association;Centre social du Bazois;9:00 - 12:15 / 13:30 - 17:00;9:00 - 12:15 / 13:30 - 17:00;9:00 - 12:15 / 13:30 - 17:00;9:00 - 12:15 / 13:30 - 17:00;9:00 - 12:15 / 13:30 - 17:00;-;;Espace labellisé
331;58;Château Chinon;6 Place Notre Dame ;;58062;58120;CHATEAU CHINON;47.06284;3.934114;relaisaccueil-chateauchinon@hotmail.fr;03 86 85 29 21;Association;Centre social de Château Chinon;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;-;;Espace labellisé
