MATRICULE;DEPARTEMENT;FRANCE SERVICES;ADRESSE;COMPLEMENT D'ADRESSE;CODE INSEE;CODE POSTAL;COMMUNE;LATITUDE;LONGITUDE;CONTACT MAIL;TELEPHONE;TYPE STRUCTURE PORTEUSE;STRUCTURE PORTEUSE;HORAIRES LUNDI;HORAIRES MARDI;HORAIRES MERCREDI;HORAIRES JEUDI;HORAIRES VENDREDI;HORAIRES SAMEDI;ITINERANCE
274;48;Langogne;1 Quai du Langouyrou ;;04880;48300;LANGOGNE;44,725711;3,857039;;;Collectivité;Communauté communes du Haut Allier;8:45 - 12:00 / 13:45 - 16:45;8:45 - 12:00 / 13:45 - 16:45;8:45 - 12:00 / 13:45 - 16:45;8:45 - 12:00 / 13:45 - 16:45;8:45 - 12:00 / 13:45 - 16:45;-;
275;49;Chemillé-en-Anjou;5 Rue de la Gabardière;;04992;49120;CHEMILLE EN ANJOU;47,216912;-0,727681;accueil@centresocial-chemille.asso.fr;;Association;Centre social et socio culturel du chemillois;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:30 ;
276;49;Loire Layon - St Georges;5, rue de Savennières;;49283;49170;ST GEORGES SUR LOIRE;47,406964;-0,757777;msaploirelayon@csi-latelier.fr;2 41 39 17 11;Association;Centre social intercommunal l’Atelier à Saint-Georges-sur-loire;9:00 - 12:30 / 13:30 - 18:00;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;-;
277;49;Montreuil-Bellay;139 Rue d'Anjou;;49215;49260;MONTREUIL BELLAY;47,127865;-0,143755;direction.csc49@gmail.com;;Association;Centre social et culturel intercommunal Roland Charrier;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 16:00;-;
278;49;Loire Layon - Chalonnes;4 Rue des Poilus;;49063;49290;CHALONNES SUR LOIRE;47,35206;-0,761805;contact@csi-latelier.fr;;Collectivité;CCAS de Chalonnes sur Loire;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00;-;
279;49;Vallée du Haut Anjou;2 Rue des Fontaines;;04980;49330;LES HAUTS D ANJOU;47,680715;-0,49429;;;Association;Communauté de communes des Vallées du Haut Anjou;9:00 - 12:15 / 14:00 - 17:00;9:00 - 12:15 / 14:00 - 17:00;9:00 - 12:15 / 14:00 - 17:00;9:00 - 12:15 / 14:00 - 17:00;9:00 - 12:15 / 14:00 - 17:00;-;
280;49;Orée d’Anjou;20 rue JFA Chenouard;;49069;49530;OREE D ANJOU;47,339223;-1,2066;msap@rivesdeloire.fr;;Association;Centre socioculturel Rives de Loire;9:00 - 12:15 / 14:00 - 18:00;9:00 - 12:15 / 14:00 - 19:00;9:00 - 12:15 / 14:00 - 18:00;9:00 - 12:15 / 14:00 - 18:00;9:00 - 12:15 / 14:00 - 18:00;-;
281;49;Beaupréau-en-Mauges;10 Rue du sous Préfet Barré;;49023;49600;BEAUPREAU EN MAUGES;47,20339;-0,993564;direction@cs-evreetmauges.fr;;Association;Centre social Evre et Mauges;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 14:00 - 18:00;Hors vacances scolaires : 9:00 - 12:00;
282;50;Sourdeval;13 c Rue de Tinchebray;;50582;50150;SOURDEVAL;48,725295;-0,917687;;;Collectivité;CA Mont-Saint-Michel-Normandie;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00;-;
283;50;Brecey;7 bis Rue Louis René le Berriays;;50074;50370;BRECEY;48,7238;-1,16996;;;Collectivité;CA Mont-Saint-Michel-Normandie;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00;-;
284;50;Lessay;11 Place Saint Cloud;;50267;50430;LESSAY;49,218827;-1,533783;;;Association;Maison du Pays de Lessay;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 16:30;-;
285;50;Carentan;28 Rue de la 101e Airborne;;05099;50500;CARENTAN LES MARAIS;49,304725;-1,250528;;;Collectivité;CDC de la Baie du Cotentin;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 17:00;-;
286;50;St Hilaire du Harcouet;65 Place Louis Delaporte;;50484;50600;ST HILAIRE DU HARCOUET;48,578859;-1,90641;msap.sthilaire@msm-normandie.fr;;Collectivité;CA Mont-Saint-Michel-Normandie;8:30 - 12:30 / 14:00 - 17:00;8:30 - 12:30 / 14:00 - 17:00;8:30 - 12:30 / 14:00 - 17:00;8:30 - 12:30 / 14:00 - 17:00;8:30 - 12:30 / 14:00 - 17:00;-;
287;50;Le teilleul;32 Rue Beauregard;;50591;50640;LE TEILLEUL;48,538517;-0,87283;;;Collectivité;CA Mont-Saint-Michel-Normandie;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00;-;
288;50;Valognes;22 Rue de Poterie;;50615;50700;VALOGNES;49,510031;-1,469319;;;Collectivité;CA du Cotentin;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30;-;
289;50;Villedieu;11 Rue Pierre Paris;;50639;05800;VILLEDIEU LES POELES ROUFFIGNY;48,835873;-1,221701;accueil@villedieuintercom.fr;;Collectivité;CDC Villedieu Intercom;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:30;-;
290;51;Jonchery sur Vesle;Rue du Marche;;05138;51140;JONCHERY SUR VESLE;49,286891;3,813739;msap.jonchery-sur-vesle@laposte.net;;Association;Familles Rurales de Jonchery sur Vesle;13:30 - 18:00;13:30 - 19:00;9:00 - 12:00 / 13:30 - 18:00;9:00 - 12:00 ;13:30 - 17:00 ;10:00 - 12:00;
291;51;Bassuet;1 Rue Ernest Haudos;;51040;51300;BASSUET;48,797305;4,667419;;;Collectivité;Communauté de communes des Côtes de Champagne et Val de Saulx;8:30 - 12:00;-;9:00 - 12:00 / 13:45 - 17:00;-;-;-;
292;51;Paysages de la Champagne - Dormans;3 Rue du Marechal Foch;;51217;51700;DORMANS;49,077037;3,642586;msap@ccpc51.fr;7 85 93 51 18;Collectivité;Communauté de communes des Paysages de la Champagne;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;-;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;-;
293;51;Argonne Champenoise;50 Avenue de Pertison;;51507;51800;STE MENEHOULD;49,95895;4,914458;msap@cc-argonnechampenoise.fr;3 26 60 59 92;Collectivité;Communauté de communes de l’Argonne Champenoise ;13:30 - 17:00;8:30 - 17:30;8:30 - 12:00;13:30 - 17:30;8:30 - 17:30;-;
297;52;Bologne;1-3 rue de Chaumont;;52058;52310;BOLOGNE;48,186626;5,18716;; 32 50 34 48;Collectivité;CA de Chaumont;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;-;
298;53;Gorron;Place de la Mairie;;53107;53120;GORRON;48,411497;-0,813603;;;Collectivité;Communauté de communes du Bocage Mayennais;8:30 - 12:15 / 13:30 - 17:30;8:30 - 12:15 / 13:30 - 17:30;8:30 - 12:15 / 13:30 - 17:30;8:30 - 12:15 / 13:30 - 17:30;8:30 - 12:15 / 13:30 - 17:30;-;
299;53;Pré-en-Pail-Saint-Samson;1 Rue de la Corniche de Pail;;53185;53140;PRE EN PAIL ST SAMSON;48,457247;-0,2069;dgs@cc-montdesavaloirs.fr;;Collectivité;Communauté de communes du Mont des Avaloirs;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 16:30;-;
300;53;Meslay-du-Maine;1 Voie de la Guiternière ;;53152;53170;MESLAY DU MAINE;47,949589;-0,542033;;;Collectivité;Communauté de communes du Pays de Meslay-Grez;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;-;
301;53;Ambrières-les-Vallées;6 Place du Château ;;53003;53300;AMBRIERES LES VALLEES;48,403482;-0,629826;;;Collectivité;Communauté de communes du Bocage Mayennais;14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00– 17:00;9:00 - 12:00 / 14:00– 17:00;-;
302;53;Loiron;Maison de Pays Espace Tertiel ;;53137;53320;LOIRON RUILLE;48,05874;-0,941676;;;Collectivité;Laval-Agglo;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:00;-;
303;53;Craon;29 Rue de la Libération;;05384;53400;CRAON;47,849499;-0,955688;;;Collectivité;Communauté de communes du Pays de Craon;9:00 - 12:30 / 13:30 - 17:30;9:00– 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30 ;-;
304;53;Ernée;Parc de la Querminais BP28 ;Communauté de communes de l’Ernée;05396;53500;ERNEE;48,289699;-0,918796;msap@lernee.fr;;Collectivité;Communauté de de communes de l’Ernée;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 16:30;-;
305;53;Villaines-la-Juhel;17 Boulevard du Général de Gaulle;;53271;53700;VILLAINES LA JUHEL;48,339399;-0,281197;dgs@cc-montdesavaloirs.fr;;Collectivité;Communauté de communes du Mont des Avaloirs;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;-;
306;54;Seille et Grand Couronné;47 rue Saint Barthélémy;;54113;54280;CHAMPENOUX;48,742356;6,347801;;;Collectivité;ComCom de Seille et Grand Couronné;8:30 - 12:30 / 13:30 - 16:30;8:30 - 12:30 / 13:30 - 16:30;9:00 - 12:00;8:30 - 12:30 / 13:30 - 16:30;8:30 - 12:30 / 13:30 - 16:30;-;
308;54;Mont sur Meurthe;3 rue de la Meurthe;;54383;54360;MONT SUR MEURTHE;48,555451;6,441162;;;Association;Association Familles Rurales ;9:00 - 12:00 / 13:30 - 17:30;13:30 - 17:30;8:30 - 13:30;8:30 - 12:30 / 13:30 - 18:00;8:30 - 12:30 / 13:30 - 17:30;Sur RDV;
309;54;Einville et Environs;35 grande rue;;54176;54370;EINVILLE AU JARD;48,655453;6,488118;;;Association;Familles Rurales Einville et Environs;8:30 - 12:00 / 13:00 - 17:30;13:00 - 17:30;8:30 - 12:00;8:30 - 12:00;13:00 - 17:30;-;
311;54;PIMMS - Grand Longwy;14 rue Stanislas ;;54323;54400;LONGWY;49,524346;5,761761;grandlongwy@pimms.org;3 82 44 54 50;PIMMS;Union Nationale des PIMMS;8:45 - 12:00 / 14:00 - 16:45;Sur RDV : matin / Sans RDV : 14:00 - 16:45;8:45 - 12:00 / 14:00 - 16:45;Sur RDV;8:45 - 12:00 / 14:00 - 16:45;-;
314;54;Mad & Moselle;2bis rue Henri Poulet ;;54518;54470;THIAUCOURT REGNIEVILLE;48,955716;5,866697;;;Collectivité;ComCom Mad & Moselle;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30 // Certains services seulement : 12:30 - 18:30;8:30 - 12:30 / 13:30 - 16:30;Certains services : 9:00 - 12:00;
317;55;La poste Gondrecourt le Château;5, place de l’Hôtel de Ville;;55215;55130;GONDRECOURT LE CHATEAU;48,51388;5,506251;;;La poste;La Poste;14:00 - 16:30;9:00 - 12:00 / 14:00 - 16:30;9:00 - 12:00;9:00 - 12:00 / 14:00 - 16:30;9:00 - 12:00 / 14:00 - 16:30;9:00 - 12:00;
318;55;Commercy;22 Avenue Stanislas;;55122;55200;COMMERCY;;;sp-commercy@meuse.gouv.fr;3 29 91 70 71;Etat;Sous-préfecture de Commercy;9:00 - 12:00 / 14:00 - 16:30;9:00 - 12:00 / 14:00 - 16:30;9:00 - 12:00 / 14:00 - 16:30;9:00 - 12:00 / 14:00 - 16:30;9:00 - 12:00 / 14:00 - 16:30;-;
320;55;Centre Social et Culturel d’Etain et sa région;25 rue des Ecoles;;55181;55400;ETAIN;49,213442;5,64121;;;Association;Centre Social et Culturel; 13:30 - 18:00;9:00 - 12:00 / 13:30 - 18:00;9:00 - 12:00 / 13:30 - 18:00;9:00 - 12:00 / 13:30 - 18:00;9:00 - 12:00 / 13:30 - 18:00;-;
321;55;Ligny-en-Barrois;12 / 14 Rue des Etats Unis ;;55291;55500;LIGNY EN BARROIS;48,688032;5,322006;;;Collectivité;CIAS Bar le Duc Sud Meuse;9:00 - 12:00 / 13:30 - 16:30;9:00 - 12:00 / 13:30 - 16:30;9:00 - 12:00 / 13:30 - 16:30;9:00 - 12:00 / 13:30 - 16:30;9:00 - 12:00 / 13:30 - 16:30;-;
322;55;Stenay val Dunois;6 d Avenue de Verdun;;55502;55700;STENAY;49,489519;5,194254;accueil@ccstenaydun.fr;;Collectivité;Codecom Pays de Stenay Val Dunois;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;-;
326;56;Guémené-sur-Scorff;14 rue Joseph Pérès;;56073;56160;GUEMENE SUR SCORFF;48,067603;-3,206694;mfs.quentin.evano@outlook.fr;;Collectivité;Mairie;8:30 - 12:00 / 13:00 - 17:30;8:30 - 12:00 / 13:00 - 17:30;8:30 - 12:00 / 13:00 - 16:30;8:30 - 12:00 / 13:00 - 17:30;8:30 - 12:00 / 13:00 - 17:30;9:00 - 12:00;
328;56;Groix;13 rue de l’Église;;56069;56590;GROIX;47,63856;-3,454936;msap@groix.fr;2 97 12 85 20;Collectivité;CCAS de Goix;10:00 - 12:00 / 13:30 - 16:30;10:00 - 12:00 / 13:30 - 16:30;10:00 - 12:00 / 13:30 - 16:30;10:00 - 12:00 / 13:30 - 16:30;10:00 - 12:00 / 13:30 - 16:30;-;
329;57;Entrange ;22 Rue du Silo;;57194;57330;ENTRANGE;49,41519;6,13249;;;Collectivité;Communauté de Communes de Cattenom et Environs;-;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 16:30;9:00 - 12:30;9:00 - 12:30;9:00 - 12:30;
330;58;Chatillon en Bazois;1 bis rue de la Picherotte;;58065;58110;CHATILLON EN BAZOIS;;;msap.chatillon@csbazois.org;;Association;Centre social du Bazois;9:00 - 12:15 / 13:30 - 17:00;9:00 - 12:15 / 13:30 - 17:00;9:00 - 12:15 / 13:30 - 17:00;9:00 - 12:15 / 13:30 - 17:00;9:00 - 12:15 / 13:30 - 17:00;-;
331;58;Château Chinon;6 Place Notre Dame ;;58062;58120;CHATEAU CHINON;;;relaisaccueil-chateauchinon@hotmail.fr;;Association;Centre social de Château Chinon;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;-;
332;58;Centre social Intercommunal des Portes du Morvan;Quartier Henri Bachelin;;58145;58140;LORMES;;;centre.social.lormes@wanadoo.fr;;Association;Centre social intercommunal des portes du Morvan;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;-;
333;58;Luzy;12 Avenue Marceau;;58149;58170;LUZY;;;;;Association;Centre social et culturel de Luzy;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;-;
334;58;Varzy;7 rue Nicolas Colbert;;58304;58210;VARZY;47,356581;3,385824;centresocial.58210@wanadoo.fr;;Association;Mairie de Donzy;9:00 - 12:00 / 13:30 - 17:30;13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;13:30 - 17:30;9:00 - 13:00 - 14:30 - 17:30;-;
335;58;Donzy;1 place de la mairie;;58102;58220;DONZY;47,373057;3,125918;accueilmairie@mairie-donzy.fr;;Collectivité;Espace socioculturel du Val du Sauzay;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 18:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 18:00;8:30 - 17:00;-;
336;58;Montsauche;Place Marcel Mariller;;58180;58230;MONTSAUCHE LES SETTONS;;;relais.accueil-montsauche@orange.fr;;Association;Centre social des grands lacs du Morvan;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00;-;
337;58;Saint Pierre le Moutier;35 Avenue du 8 Mai ;;58264;58240;ST PIERRE LE MOUTIER;;;msap.csstpierre@orange.fr;;Association;Centre social de St Pierre le Moutier;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 15:30;-;
338;58;Cercy la Tour;4 rue François Mitterrand;;58046;58340;CERCY LA TOUR;;;csocialfours@wanadoo.fr;;Association;Centre social entre Loire et Morvan;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00;-;
339;58;La Machine;3 Avenue de la Republique;;58151;58260;LA MACHINE;;;fonctionaccueil@csc-lamachine.fr;;Association;Centre social de La Machine;9:00 - 12:00 / 13:30 - 18:00;13:30 - 18:00;9:00 - 12:00 / 13:30 - 18:00;9:00 - 12:00 / 13:30 - 18:00;9:00 - 12:00 / 13:30 - 17:00;-;
340;58;Moulins Engilbert;2 Rue de la Mission;;58182;58290;MOULINS ENGILBERT;;;centre-social-moulins-engilbert@wanadoo.fr;;Association;Centre social de Moulins Engilbert;8:00 - 12:00 / 13:30 - 17:30;8:00 - 12:00 / 13:30 - 17:30;8:00 - 12:00 / 13:30 - 17:30;8:00 - 12:00 / 13:30 - 17:30;8:00 - 12:00 / 13:30 - 17:30;-;
341;58;Saint Saulge;1 Place de la République;;58267;58330;ST SAULGE;;;;;Association;Centre socioculturel cœur du Nivernais;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 16:30;-;
342;58;Brinon sur Beuvron;9 Rue Commandant Victor Guerreau;;58041;58420;BRINON SUR BEUVRON;;;centresocialbrinon@orange.fr;;Association;Centre social et culturel du Beuvron;8:30 - 12:00 / 14:00 - 17:30;8:30 - 12:00 / 14:00 - 17:30;8:30 - 12:00 / 14:00 - 17:30;8:30 - 12:00 / 14:00 - 17:30;8:30 - 12:00 / 14:00 - 17:30;-;
343;58;Fourchambault;Avenue Jean Jaurès;;58117;58642;FOURCHAMBAULT;47,018748;3,83292;directioncsf@free.fr;;Association;Centre social de Fourchambault;8:30 - 12:00 / 13:30 - 18:00;8:30 - 12:00 / 13:30 - 18:00;8:30 - 12:00 / 13:30 - 18:00;8:30 - 12:00 / 13:30 - 17:00;-;-;
344;58;Corbigny;3 Grande Rue;;58083;58800;CORBIGNY;;;accueil@cctbc.fr;;Collectivité;Communauté de Commune Tannay Brinon Corbigny;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;-;
345;59;Bus itinérant de l’Avesnois;51 Rue Gustave Delory;;59350;59000;LILLE;50,633633;3,072999;;;Collectivité;;9:30 - 12:30 / 13:30 - 16:00;9:30 - 12:30 / 13:30 - 16:00;9:30 - 12:30 / 13:30 - 16:00;9:30 - 12:30 / 13:30 - 16:00;9:00 - 13:00;-;Oui
346;59;Hondschoote;1 Rue de Cassel;;05939;59122;HONDSCHOOTE;50,978506;2,579816;;;Collectivité;;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 13:00 / 14:00 - 16:00;-;
347;59;Pecquencourt;Rue de Castres;centre multimédia;59456;59146;PECQUENCOURT;50,369248;3,19578;;;Collectivité;;14:00 - 18:00;10:00 - 12:00 / 14:00 - 18:00;10:00 - 12:00 / 14:00 - 18:00;10:00 - 12:00 ;10:00 - 12:00 / 14:00 - 18:00;-;
348;59;Anor;9 Rue Georges Clémenceau;;59012;59186;ANOR;49,99917;4,98503;;;La Poste;La Poste;9:30 - 12:00;9:00 - 12:00 / 13:30 - 16:00;9:00 - 12:00 ;9:00 - 12:00 / 13:30 - 16:00;9:00 - 12:00 / 13:30 - 16:00;9:00 - 12:00 ;
349;59;Raimbeaucourt ;Place Charles de Gaulle;CCAS Lesecq Carpentier;59489;59283;RAIMBEAUCOURT;50,44017;3,10937;;;Collectivité;;8:30 - 11:30 / 13:30 - 16:30;8:30 - 11:30 / 13:30 - 16:30;8:30 - 11:30;8:30 - 11:30 / 13:30 - 16:30;8:30 - 11:30;-;
350;59;Cateau-Cambrésis;13 Place du Commandant Richez;;59136;59360;LE CATEAU CAMBRESIS;50,105684;3,541175;;;Collectivité;;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 13:00 / 14:00 - 16:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;-;
351;59;Bourbourg ;Avenue Francois Mitterrand;Espace Pierre de Coubertin ;05994;59630;BOURBOURG;50,944676;2,192959;;;Association;centre socio-éducatif;8:30 - 12:30;8:30 - 13:00;8:30 - 12:30;8:30 - 12:30;8:30 - 12:30;8:30 - 12:30;
352;59;Solesmes ;9 bis Rue Jules Guesde;« l’Etape »;59571;59730;SOLESMES;50,182569;3,492718;;;Collectivité;;8:30 - 12:00;8:30 - 12:00 / 13:30 - 17:00;-;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 16:30;-;
353;59;Bruay-sur-Escaut;6 rue de l’église;;59112;59860;BRUAY SUR L ESCAUT;50,407833;3,557985;;;Collectivité;;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 13:00 / 14:00 - 16:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;-;
354;60;Saint-Just en Chaussée;60 Rue de Paris;;60581;60130;ST JUST EN CHAUSSEE;49,504752;2,434864;conctact.mcd@oise.fr; 34 41 82 35;Collectivité;Conseil Départemental;14:00 - 17:00;9:30 - 12:30 / 14:00 - 17:00;9:30 - 12:30 / 14:00 - 17:00;9:30 - 12:30 / 14:00 - 17:00;9:30 - 12:30 / 14:00 - 17:00;-;
356;60;Grandvilliers;32 Rue Frédéric Petit;;60286;60210;GRANDVILLIERS;49,666156;1,937855;direction@csrgrandvillers.fr;3 44 46 75 41;Association;Centre Social Rural;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;-;
357;60;Crévecoeur le Grand;24 Avenue du Château;;60178;60360;CREVECOEUR LE GRAND;49,607923;2,80593;conctact.mcd@oise.fr; 34 41 82 30;Collectivité;Conseil Départemental;14:00 - 17:00;9:30 - 12:30 / 14:00 - 17:00;9:30 - 12:30 / 14:00 - 17:00;9:30 - 12:30 / 14:00 - 17:00;9:30 - 12:30 / 14:00 - 17:00;-;
358;60;Ressons-sur-Matz;91 Rue de Compiegne;;60533;60490;RESSONS SUR MATZ;49,537891;2,744749;conctact.mcd@oise.fr;;Collectivité;Conseil Départemental;14:00 - 17:00;9:30 - 12:30 / 14:00 - 17:00;9:30 - 12:30 / 14:00 - 17:00;9:30 - 12:30 / 14:00 - 17:00;9:30 - 12:30 / 14:00 - 17:00;-;
359;60;Betz;1 Rue de la Fraternite;;60069;60620;BETZ;49,159855;2,95234;;;Association;Centre Social Rural;13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 16:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 16:00;-;
360;60;Le Coudray Saint-Germer;4 Rue des Ecoles;;60164;06850;LE COUDRAY ST GERMER;49,413446;1,841847;msap.lecoudraystgermer@gmail.com;;Association;Centre Social Rural;-;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 19:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 - 13:30 - 19:30;9:00 - 12:00;
361;61;Alençon-Perseigne - Site principal de Perseigne;28 Place de la Paix;(MSaP Alençon-Perseigne) -Quartier Perseigne;61001;61000;ALENCON;48,415224;0,94454;;;Collectivité;Ville d’Alençon;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;-;
